
  1   1952 Tau  5 31.5 +21 59   6x 4  8.5 NG [yri{issumu                      
 45        Tau  3 43.9 +23 58 100     1.5 CO Plejadit                         
 46   2437 Pup  7 39.6 -14 42  24     6.0 CO                                  
 47   2422 Pup  7 34.3 -14 22  25     4.5 CO                                  
 48   2548 Hya  8 11.2 -05 38  30     5.5 CO                                  
 49   4472 Vir 12 27.3 +08 16   3x 2  8.5 GE                                  
 50   2323 Mon  7 00.5 -08 16  16     7.0 CO                                  
 51   5194 CVn 13 27.8 +47 27  10x 6  8.0 GS Py|rresumu                       
 52   7654 Cas 23 22.0 +61 20  12     7.5 CO                                  
 53   5024 Com 13 10.5 +18 26   3     7.5 CG                                  
 54   6715 Sgr 18 52.0 -30 32   2     7.0 CG                                  
 55   6809 Sgr 19 36.9 -31 03  10     4.5 CG                                  
 56   6779 Lyr 19 14.9 +30 05   2     8.0 CG                                  
 57   6720 Lyr 18 51.1 +32 58   1     9.0 NP Lyyran rengassumu                
 58   4579 Vir 12 35.1 +12 05   4x 3  9.0 GB                                  
 59   4621 Vir 12 39.5 +11 55   3x 2  9.5 GE                                  
 60   4649 Vir 12 41.1 +11 49   2     9.0 GE                                  
 61   4303 Vir 12 19.4 +04 45   6x 5 10.0 GS                                  
 62   6266 Oph 16 58.1 -30 03   4     6.5 CG                                  
 63   5055 CVn 13 13.5 +42 17  10x 5  9.5 GS                                  
 64   4826 Com 12 54.3 +21 57   6x 3  9.0 GS Mustasilm{galaksi                
 65   3623 Leo 11 16.3 +13 23   8x 2  9.5 GS                                  
 66   3627 Leo 11 17.6 +13 17   8x 2  8.5 GS                                  
 67   2682 Cnc  8 48.3 +12 00  15     6.0 CO                                  
 68   4590 Hya 12 36.8 -26 29   3     8.0 CG                                  
 69   6637 Sgr 18 28.1 -32 23   3     9.0 CG                                  
 70   6681 Sgr 18 40.0 -32 21   3     9.5 CG                                  
 71   6838 Sge 19 51.5 +18 39   6     8.5 CG                                  
 72   6981 Aqr 20 50.7 -12 44   2    10.0 CG                                  
 73   6994 Aqr 20 56.4 -12 50   1    10.0 S4                                  
 74    628 Psc  1 34.0 +15 32  11x 9 10.0 GS                                  
 75   6864 Sgr 20 03.2 -22 04   2     8.0 CG                                  
 76    650 Per  1 38.8 +51 19   3x 1 12.0 NP                                  
 77   1068 Cet  2 40.1 -00 14   6x 5  9.0 GS                                  
 78   2068 Ori  5 44.2 +00 02   8x 6 10.0 NG                                  
 79   1094 Lup  5 22.2 -24 34   3     8.5 CG                                  
 80   6093 Sco 16 14.1 -22 52   3     7.5 CG                                  
 81   3031 UMa  9 51.5 +69 18  21x10  8.0 GS                                  
 82   3034 UMa  9 51.9 +69 56   9x 4  9.0 GI                                  
 83   5236 Hya 13 34.3 -29 37  10x 8 10.0 GS                                  
 84   4374 Vir 12 22.6 +13 10   2     9.5 GE                                  
 85   4382 Com 12 22.8 +18 28   2     9.5 GE                                  
 86   4406 Vir 12 23.7 +13 13   2x 1  9.5 GE                                  
 87   4486 Vir 12 28.3 +12 40   2     9.0 GE                                  
 88   4501 Com 12 29.5 +14 42   5x 2 10.0 GS                                  
 89   4552 Vir 12 33.1 +12 50   1     9.5 GE                                  
 90   4569 Vir 12 34.3 +13 26   7x 2 10.0 GS                                  
 91   4548 Com 12 32.9 +14 46   4x 3 11.0 GB                                  
 92   6341 Her 17 15.6 +43 12   8     6.0 CG                                  
 93   2447 Pup  7 42.4 -23 45  25     6.0 CO                                  
 94   4736 CVn 12 48.6 +41 23   5x 4  8.0 GS                                  
 95   3351 Leo 10 41.3 +11 58   6x 4 10.5 GB                                  
 96   3368 Leo 10 44.2 +12 05   5x 4  9.0 GS                                  
 97   3587 UMa 11 12.0 +55 18   3    12.0 NP P|ll|sumu                        
 98   4192 Com 12 11.3 +15 11   8x 2 10.5 GS                                  
 99   4254 Com 12 16.3 +14 42   5x 4 10.0 GS Tuulimyllygalaksi                
100   4321 Com 12 20.4 +16 06   5    10.5 GS                                  
101   5457 UMa 14 01.4 +54 35  22     9.5 GS                                  
102   5866 Dra 15 05.1 +55 57   3x 1 11.0 GE                                  
103    581 Cas  1 29.9 +60 27   5     7.5 CO                                  
104   4594 Vir 12 37.3 -11 21   6x 2  8.5 GS Sombrerogalaksi                  
105   3379 Leo 10 45.2 +12 51   2     9.0 GE                                  
106   4258 CVn 12 16.5 +47 35  20x 7  8.5 GS                                  
107   6171 Oph 16 29.7 -12 57   2     9.0 CG                                  
108   3556 UMa 11 08.7 +55 57   8x 1 10.5 GS                                  
109   3992 UMa 11 55.0 +53 39   6x 4 11.0 GS                  
